postUrl,description,commentCount,likeCount,imgUrl
https://www.instagram.com/p/ClRVSK4tNxj/,"Photo by @estherhorvath | Some 400,000 specimens from German citizens, collected over four decades and stored in an old military bunker,  trace the rise—and sometimes the fall—of chemical pollutants in an industrial country. 

At the German Environmental Specimen Bank, Dominik Lermen stands among cryo-storage tanks that hold thousands of vials of blood and urine. Lerman leads the team that collects samples from volunteers every year and stores them here on behalf of the German Environment Agency. 

It's part of a federal ministry's effort to “to systematically monitor and analyze human exposure to chemicals like lead, mercury, plasticizers, and others,” Lermen says. The project traces which substances have  accumulated at potentially dangerous levels, and considers whether bans and regulations of some of those substances have been effective. Read the full story at the link in bio.",208,26538,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/316913333_488468433260534_136116925307750513_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=QjwwO3yF8RkAX_DpcB5&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCFnbR7K5t0f9jlqPrPxK8ftyYCFgHtGMDuKANmBbhWiQ&oe=6382F637&_nc_sid=8fd12b
https://www.instagram.com/p/ClREHP7uB4a/,"Photo by @javier_aznar_photography | In the highlands of Ecuador live one of the most emblematic mammals of the Andes, the vicuña. This herbivore has adapted to the region’s high altitude, serving as important seed dispersers in the nutrient cycle and, through its dung, fertilizers of soil. Its population is now stable in Ecuador, but in the past, it had disappeared from the wild and was reintroduced with animals from Peru, Bolivia, and Chile. The vicuña belongs to the same genus as the alpaca, but the former is still wild while the latter has been domesticated. 

Follow me @javier_aznar_photography for more images and stories about Ecuador. #ecuador #vicuna #wildlife",529,123420,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/316601538_700728757981052_7212991781982506288_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=Diu3HJAGoX8AX-tY96z&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCBhwWRp1ZYAgIITVJzDQ3SGCrgmvPTktzgfIK2ahWSRA&oe=638181D1&_nc_sid=8fd12b
https://www.instagram.com/p/ClPnahvg-Vk/,"Read the full story at the link in bio. 

Astronauts in spacesuits navigated a lava-covered landscape to test the tools and procedures needed for real lunar missions.

Photograph by Dan Winters, National Geographic",291,40735,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/316428590_801757924230011_5292914126217535889_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=PklHLodwSPoAX8MHoKE&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB8b3xGUtFbcVui2rF5w9eNNQH0q_xOywZw1s236BRZxQ&oe=6382DD2E&_nc_sid=8fd12b
https://www.instagram.com/p/ClOfUXZAdss/,"Photo by Keith Ladzinski @ladzinski | The fastest land animal on Earth and a masterful hunter, cheetahs can hit speeds on flat ground that exceed 60 mph. Even so, the success rate for their hunts is just shy of 60%. I photographed this one in the Masai Mara—it speaks volumes about life in the wild.",2022,455473,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/316467305_379254304365897_2436248569472381158_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=d5mTWmk5jeEAX-fO0C3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD5iLcHci33Zq9fsZtJqfNFFts3FbQZKxWZXn6nDy7C-w&oe=6382A14D&_nc_sid=8fd12b
https://www.instagram.com/p/ClMuBkUpTpt/,"Photo by @gabrielegalimbertiphoto and Juri De Luca | Fossils of long-extinct creatures aren’t just for museums. Today they’re in homes and businesses, as wealthy collectors indulge in a controversial hobby. Here, 11-year-old Luke Phipps sits atop a Triceratops fossil—still in a plaster “jacket” used for carefully transporting a fossil from the field to a lab—with Chris Morrow, owner of CK Preparations, a commercial fossil company in Montana. Luke found the fossil while digging with his father, Clayton Phipps, a rancher and amateur paleontologist known as the dinosaur cowboy. #dinosaurs #dino #dinosaur #collection #triceratops",980,178396,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/316242900_194772863065071_1185504836533765943_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=t8yadnlF54kAX9jB4zf&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfALEQk1BMB7gzJve0akSYksDZPAY_SnwIkIkv826uQeTA&oe=63823CF7&_nc_sid=8fd12b
https://www.instagram.com/p/ClMLsSRrHi4/,"Photo by Michaela Skovranova @mishkusk | The eastern gray kangaroo, found in Australia's southeastern state of Victoria, can often be seen in grasslands and shrubs—or hopping through a golf course, grazing during dusk and dawn. They are widespread, and in some areas, they can become overabundant and cause damage to farmland and properties. Protecting natural habitat and fostering an environment where native vegetation can thrive helps create safe areas for them and may keep them away from populated areas. #Nature #Wildlife #Kangaroo #Macropod #Wurundjeri #YarraValley #Victoria",452,103699,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/316120022_136400959200084_8265045105712011489_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=4C-d35fvqtkAX8r51zP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfACrKrumjOaMvuvCJMpDuxNnw3eazfURMBFYrn5AOMbdw&oe=63821A22&_nc_sid=8fd12b
https://www.instagram.com/p/ClL6hZijky3/,"Photo by @paoloverzone | Until recently, many treasures from King Tutankhamun’s tomb, including this figurine, or shabti, were kept at the cramped Egyptian Museum in Cairo, which opened in 1902. Artifacts long hidden in storage will be displayed at the new Grand Egyptian Museum in Giza, some for the first time.
Read the full story at the link in bio and follow @paoloverzone for more images and stories.",643,111726,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/316356186_153045840781994_7929521677286404955_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=qvUhCItGmx4AX-vfl1D&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC8cn-hpFiGGEtZ4SXs1NqvxlhueRnIfh0Mf3WK2eK7Xg&oe=6382954A&_nc_sid=8fd12b
https://www.instagram.com/p/ClKJOpdJwwy/,"Photo by Muhammed Muheisen @mmuheisen | Migrating storks gather at Devegeçidi Dam in Diyarbakir, Türkiye. For more photos and videos from different parts of the world, follow me @mmuheisen and @mmuheisenpublic. #MuhammedMuheisen #Kayapinar #Türkiye",497,100209,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/315978729_445623807646099_1348076375193527021_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=5fLgAi5wVgkAX-jMmxP&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDAdTkF2bZubzXocr3voeHjPrHqzOKzYJgcWYlsLG5cCQ&oe=6381DDD2&_nc_sid=8fd12b
https://www.instagram.com/p/ClJm5OYulR1/,"Photo by @erintrieb | A women’s rights activist (who is not named for her protection) puts on makeup at her apartment in Kabul. She shares a flat with two other single women, which is viewed as unacceptable in Afghan society. Most landlords in Afghanistan will not rent a home to a single woman. 

Though they are relatively few, single women who choose to have female roommates or live alone are often harassed by their neighbors, threatened, or forced to vacate their apartments, accused of being prostitutes. The woman pictured here has since fled Afghanistan, stating she’s received death threats from the Taliban. She hopes to immigrate to the U.S. or Europe but struggles to find visa opportunities. For more stories on Afghanistan follow @erintrieb.",522,58637,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/316057559_680776783402480_1611773490532015272_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=1&_nc_ohc=gJyvSpiD038AX9ysq3W&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD-Pl-MQV5eoiTNcBrE_fkcG03A2PAQB0MVcG7xc2vAMQ&oe=6382F00B&_nc_sid=8fd12b
https://www.instagram.com/p/ClHrS-DLR94/,"View the full list at the link in bio.

Go behind the scenes with five Nat Geo Photographers who crisscrossed the world.

Photograph by Kiliii Yüyan, National Geographic",383,74606,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/315995988_454066513327696_6481089352823220902_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=w6atf7XOum8AX99xb95&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjk3NDUzNjQ5ODQ3NzM0MjU4NA%3D%3D.2-ccb7-5&oh=00_AfAf0c9pY1L4TGIQEs5oHh-As0SRpsyGy-Elq5Dp9kLgNw&oe=6381E4C9&_nc_sid=6136e7
