postUrl,description,commentCount,likeCount,type,imgUrl
https://www.instagram.com/p/ClevlmAA0wj/,"Photo by @mattiasklumofficial | A painted dog chews on the bones of a young kudu in Botswana’s Mombo Camp. African painted dogs are very social, and packs frequently share food and assist ill or weak family members. Intricate social interactions are common, and the dogs communicate by touch, vocalizations, and actions. Painted dogs are endangered and faced with shrinking room to roam in their African home. They are also quite susceptible to diseases spread by domestic animals. 

Please check out @mattiasklumofficial for more images of endangered animals and environments. #doglovers #protectbiodiversity #botswana #predator #africa #painteddog #conservation @thephotosociety @alexandrovklumofficial",24,870,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/317221569_909523303299957_4657196434137579321_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=TPykyjsoA7sAX9WRDB0&tn=klgsL-DMRKRhbDJ1&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBlotolZB9KgAkYof5ykGp19yDf4-IZFcm986HP58MvmA&oe=6387F90D&_nc_sid=8fd12b
https://www.instagram.com/p/CleNQPAgxgR/,"Photo by @acacia.johnson | Inuit elder Peugatuk Ettuk’s dog team pulls a sledge across the sea ice near Arctic Bay, Nunavut. In this part of the eastern Canadian Arctic, the Inuit have used dog teams for travel and hunting for millennia. Although most people now rely on snowmobiles for transportation, Ettuk said he still preferred the companionship of his dogs—and pointed out that unlike snowmobiles, dog teams don’t break down.

Follow me at @acacia.johnson for more stories from the Arctic and beyond. #arctic #sleddogs #winter #nunavut #baffinisland",296,68145,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/317009477_1080270459332151_1176343531126757593_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=DoIuqrVe1lMAX8QsYla&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfALYjWTjy06PS3hHNQvJON-K1-quOKpOmjnYKUcfndgyw&oe=6388FFAB&_nc_sid=8fd12b
https://www.instagram.com/p/Cld8FxSMe7U/,"Photo by @gerdludwig | Visible from the 75th floor of Abu Dhabi Plaza—the tallest tower in Astana, Kazakhstan—an expanse of grasslands surrounds the glistening city. With its unique location on the world’s largest steppe, Astana is susceptible to extreme weather, sometimes resulting in striking views.

Since 1997, this once small town has risen from a forsaken landscape and post-Soviet rubble, transforming into a futuristic city. After replacing Almaty as the country's capital, Astana grew from having 320,000 inhabitants to over 1.2 million.

Before restoring the capital's name to Astana earlier this year, President Kassym-Jomart Tokayev had renamed it Nursultan to honor outgoing Nursultan Nazarbayev, who announced his resignation in 2019 after serving as the first and only president of modern Kazakhstan for almost 30 years. Since its founding as a Russian military outpost in 1824, Astana has undergone several naming iterations—in fact, the city holds the Guinness World Record for most name changes.
#NurSultan #Astana #Kazakhstan",365,48060,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/317276167_2120939844765104_3235242438470991430_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=Rgel8CpTU8oAX_dA6SD&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAH9o9x8UFkJSZCkYwQjXrHvIvtE9NbrR1wOYsSVYC42w&oe=638820BE&_nc_sid=8fd12b
https://www.instagram.com/p/ClbodXJA72X/,"Photo by @paoloverzone | At the Egyptian Museum in Cairo, Salima Ikram examines a tiny coffin made for a mummified shrew. “For the ancient Egyptians, no animal was too small to be ignored,” says the professor of Egyptology at the American University in Cairo, “and each occupied a very particular place in the cosmos.”

Read the full story at the link in bio and follow @paoloverzone for more images and stories.",376,46835,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/316866260_1104114340226345_6172289267499647163_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=rnSkYVMq1kQAX94gVQm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDGilFx59nQ6jQu32bo2jFzi9ptmM9X3uZSJrh89kETjA&oe=6389308B&_nc_sid=8fd12b
https://www.instagram.com/p/ClbXSkWgZHw/,"Photo by Orsolya Haarberg @fjellheimengalleri | October snow covers mountaintops in Norway’s Rondane National Park, creating islands of winter. Please follow @fjellheimengalleri for more images, primarily from the Nordic countries.
#landscapephotography #Rondane #Norway #autumn #autumnsnow #fjell",419,73279,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/317081744_664737995106197_3303793130699724707_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=aVVRwajH0poAX_S8V3n&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAvyLezCoUBVLhyei5XNjMBh9LbczXohR47pGMa1sFq4g&oe=63881F73&_nc_sid=8fd12b
https://www.instagram.com/p/ClZzuh4AitE/,"Read the full story at the link in bio. 

The Shawnee chief devoted his life to protecting ancestral lands. In death, he morphed into a legendary figure for Indigenous people and settlers alike.

Image by Erin Blakemore",901,123177,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/316764358_516599643724524_6268030654197928960_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=lLUEeN4NxC0AX8cYE1s&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAXBQOjZa6ofIiQIPM88hLCSRWHU1LxPW8BGJPBb83EPA&oe=6389CAFF&_nc_sid=8fd12b
https://www.instagram.com/p/ClZl_pEJ36V/,"Photo by @joelsartore | Native to Madagascar, tomato frogs belong to a variety of habitats across the northeastern part of the island. They've been found to adapt well to urban environments and are spotted in drainage ditches and on farmland as often as they're seen within rainforests. Their only “must-haves” include places to burrow and slow-moving or stagnant water where they can lay their eggs. Photo taken @theomahazoo. To see more species featured in the Photo Ark, follow me @joelsartore. #frog #tomato #tomatofrog #amphibian #animal #wildlife #animalphotography #wildlifephotography #studioportrait #PhotoArk",553,108647,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/316885490_228472306176252_1870977469730882378_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=Zm5ytsxx2mEAX8dCdkm&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAFF3njdvLlB4EVNMn7MocBUUtw6sr1U3zB_WgZ3Rpa5Q&oe=6388DD17&_nc_sid=8fd12b
https://www.instagram.com/p/ClYygDOAo5A/,"Photo by @sofia_jaramillo5 | Idaho is the 14th largest state by total area and has more than 25,000 farms that account for nearly 20 percent of the state’s economic output, including potatoes, wheat, sugar beets, and more. When I drive around my home in southeast Idaho, I love seeing the juxtaposition of the fall leaves and the farmers gathering their crops after a long summer. For more images from Idaho and around the world, follow me @sofia_jaramillo5. #farming #agriculture #idaho",338,64806,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/316879558_1197777034495500_458395712857672056_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=8D8KlK8i_aQAX8a4WYH&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAZBUY8iOADYLXzxWKOMrwZau6ftQylAyFoV0h3CNC1lQ&oe=63890E23&_nc_sid=8fd12b
https://www.instagram.com/p/ClWe3zZMyJZ/,"Photo by @sarahyltonphoto | In a remote region of northern Ontario, Canada, Ana Moonias plays on land belonging to the Neskantaga First Nation while her family is off hunting partridge. Neskantaga is connected only by air from Thunder Bay or by ice roads—frozen rivers and waterways that are maintained for winter travel. The region is located near the ""ring of fire,"" an area known to be rich in deposits of copper, platinum, chromite, and nickel—resources the Ontario government is eager to capitalize on. For more on this and other stories, follow me @sarahyltonphoto. #Canada #Indigenous #environment",399,82338,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/316746319_515875400457559_1935009575792207391_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_ohc=nWpgc2NuKdIAX__rhdU&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCeI7Zg6DSnjvV8IP86qbGwHumnymsz0DoKpH09dCaWpg&oe=63892ACD&_nc_sid=8fd12b
https://www.instagram.com/p/ClUqIzJrUOe/,"Read the full story at the link in bio. 

Increasing your intake of zinc and vitamins C and D during winter isn’t a magic bullet. Here’s what the science says about the most commonly touted interventions.

Photograph by Pete Muller, Nat Geo Image Collection",460,54796,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/316896304_994283501528166_4851598497879152840_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=c5npc-me9vUAX_XGcX3&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjk3ODE5MDU3NjIzMTIwMzc0Mg%3D%3D.2-ccb7-5&oh=00_AfBwd9K3G87fidvlmsRdsUv0FKOXFJymncXiwGEPXBlzNQ&oe=638916BF&_nc_sid=6136e7
https://www.instagram.com/p/ClT6EssAHCS/,"Photo by Robbie Shone @shonephoto | Drunken Forest is a cave in Mulu National Park on the Malaysian island of Borneo. It was discovered in 1984 on an expedition led by the British. There is something unusual about Drunken Forest, as you can see. In certain parts of the cave, the stalagmites lean. On first impression, they look like they were formed at an angle, but that's not the case. It's thought that an earthquake many years ago tilted the stalagmites. Here, researchers Gina Moseley from the University of Innsbruck and Nele Meckler of Bergen University take a drip-water sample from a stalagmite.",288,56473,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/316668227_667480844816614_6144786202012612435_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=YbzVUGNp690AX-MjZjW&tn=klgsL-DMRKRhbDJ1&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjk3Nzk3OTE4ODE4MDQ0NzM3OA%3D%3D.2-ccb7-5&oh=00_AfCv6qGCkdzxDDerhK-KKE0HbhMHICfyWHe-n9AiPGcz5g&oe=6389A64D&_nc_sid=6136e7
https://www.instagram.com/p/ClTfWDVAToz/,"Photo by @stephenwilkes | I was recently in British Columbia, on Chilko Lake, the traditional territory of the Xeni Gwet’in First Nations, scouting for a new photography site, when we witnessed a mother and a few grizzly bear cubs playing and gorging on what looked like a limitless supply of salmon. In the fall, millions of salmon return to the lake to spawn at the Chilko River's mouth, creating an incredibly rich food source for the bears. I’m looking forward to sharing more images from this remarkable experience. Special thanks to the incredible team @bear.camp for the amazing support. To see more from my travels near and far follow me @stephenwilkes @insidenatgeo. #bc #bears #canada #natgeo #chilkolake",617,152858,Photo,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/316698360_468122388780708_6719943429107257970_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=TBOjGIFuPjYAX_AycDV&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=Mjk3Nzg2MTYzMzQ2NTk4OTY4Mw%3D%3D.2-ccb7-5&oh=00_AfBNL3OQl-0Wxv_rnT3F_r1DHqi7VHuzJQE2JozNIMyCSA&oe=638971A5&_nc_sid=6136e7
